,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
368,macroalgae,M-LN32,Ibaizabal Zona 03. Litoral Macroalgas. Height: 2,43.3574004,-3.1135198,3,43
442,macroalgae,M-LOI18,Oiartzun Zona 01. Litoral Macroalgas. Height: 8,43.3322386,-1.9486985,18,43
367,macroalgae,M-LN31,Ibaizabal Zona 03. Litoral Macroalgas. Height: 1,43.3574004,-3.1135198,3,43
124,macroalgae,M-EBI1,Bidasoa Zona 01. Estuario Macroalgas,43.3654934,-1.7903449,18,42
132,macroalgae,M-EBI17,Bidasoa Zona 17. Estuario Macroalgas,43.3531472,-1.7859876,18,42
33,fish,AOKE,Oka (Arrastre zona exterior estuario),43.3850936,-2.686336,21,41
53,fish,URUI,Urumea (Arrastre zona interior estuario),43.312791,-1.9647193,18,41
138,macroalgae,M-EBI22,Bidasoa Zona 22. Estuario Macroalgas,43.3477799,-1.8142383,15,41
31,fish,AOE,Oria (Arrastre zona exterior estuario),43.2849592,-2.1291107,18,41
430,macroalgae,M-LO52,Orio Zona 05. Litoral Macroalgas. Height: 2,43.307584,-2.074777,3,41
319,macroalgae,M-LL38,Lea Zona 03. Litoral Macroalgas. Height: 8,43.3633326,-2.4916849,21,41
464,macroalgae,M-LOK24,Oka Zona 02. Litoral Macroalgas. Height: 4,43.4037813,-2.6976385,3,40
203,macroalgae,M-EU5,Urola Zona 05. Estuario Macroalgas,43.2848887,-2.2486957,18,40
453,macroalgae,M-LOI34,Oiartzun Zona 03. Litoral Macroalgas. Height: 4,43.3354825,-1.9314587,5,40
595,phytoplankton,L-UR10,Litoral de Tximistarri,43.3281,-2.0178,2,40
184,macroalgae,M-EOI1,Oiartzun Zona 01. Estuario Macroalgas,43.3290374,-1.9230362,18,40
182,macroalgae,M-EO8,Orio Zona 08. Estuario Macroalgas,43.2703614,-2.1010012,18,40
431,macroalgae,M-LO53,Orio Zona 05. Litoral Macroalgas. Height: 3,43.307584,-2.074777,3,38
178,macroalgae,M-EO4,Orio Zona 04. Estuario Macroalgas,43.2749476,-2.1198999,18,38
254,macroalgae,M-LB39,Butroe Zona 03. Litoral Macroalgas. Height: 9,43.4334643,-2.899559,6,38
24,fish,ALM,Lea (Arrastre zona media estuario),43.356949,-2.5041279,21,38
246,macroalgae,M-LB310,Butroe Zona 03. Litoral Macroalgas. Height: 10,43.4334643,-2.899559,3,37
134,macroalgae,M-EBI19,Bidasoa Zona 19. Estuario Macroalgas,43.3451851,-1.7764858,18,37
41,fish,OIAE,Oiartzun (Arrastre zona exterior estuario),43.3306812,-1.9245243,18,37
29,fish,ANI,Ibaizabal (Arrastre zona interior estuario),43.2888561,-2.9706504,18,37
488,macroalgae,M-LOK57,Oka Zona 05. Litoral Macroalgas. Height: 7,43.4105988,-2.6980863,15,37
465,macroalgae,M-LOK25,Oka Zona 02. Litoral Macroalgas. Height: 5,43.4037813,-2.6976385,3,36
202,macroalgae,M-EU4,Urola Zona 04. Estuario Macroalgas,43.2917881,-2.2448757,18,36
50,fish,UROI,Urola (Arrastre zona interior estuario),43.2808249,-2.255167,18,36
131,macroalgae,M-EBI16,Bidasoa Zona 16. Estuario Macroalgas,43.3569692,-1.7829868,18,36
432,macroalgae,M-LO54,Orio Zona 05. Litoral Macroalgas. Height: 4,43.307584,-2.074777,3,36
161,macroalgae,M-EM2,Barbadún Zona 02. Estuario Macroalgas,43.3453441,-3.1215293,18,36
423,macroalgae,M-LO42,Orio Zona 04. Litoral Macroalgas. Height: 2,43.2898449,-2.1274386,6,36
192,macroalgae,M-EOK3,Oka Zona 03.Estuario Macroalgas,43.3876389,-2.6885329,21,36
200,macroalgae,M-EU2,Urola Zona 02. Estuario Macroalgas,43.2984096,-2.2508347,18,36
424,macroalgae,M-LO43,Orio Zona 04. Litoral Macroalgas. Height: 3,43.2898449,-2.1274386,6,35
350,macroalgae,M-LM35,Barbadún Zona 03. Litoral Macroalgas. Height: 5,43.351681,-3.146574,3,35
158,macroalgae,M-EL5,Lea Zona 05.Estuario Macroalgas,43.3563928,-2.504589,21,35
369,macroalgae,M-LN33,Ibaizabal Zona 03. Litoral Macroalgas. Height: 3,43.3574004,-3.1135198,3,35
155,macroalgae,M-EL2,Lea Zona 02.Estuario Macroalgas,43.359148,-2.4983591,21,35
143,macroalgae,M-EBI7,Bidasoa Zona 07. Estuario Macroalgas,43.3419997,-1.7691352,18,35
181,macroalgae,M-EO7,Orio Zona 07. Estuario Macroalgas,43.2727434,-2.1027654,18,35
410,macroalgae,M-LO311,Orio Zona 03. Litoral Macroalgas. Height: 11,43.2941006,-2.1484825,9,34
14,fish,AAI,Artibai (Arrastre zona interior estuario),43.3203437,-2.4284549,21,34
54,fish,URUM,Urumea (Arrastre zona media estuario),43.3086157,-1.9740256,18,34
320,macroalgae,M-LM11,Barbadún Zona 01. Litoral Macroalgas. Height: 1,43.3490175,-3.1219192,12,34
463,macroalgae,M-LOK23,Oka Zona 02. Litoral Macroalgas. Height: 3,43.4037813,-2.6976385,3,34
122,macroalgae,M-EB8,Butroe Zona 08.Estuario Macroalgas,43.3906636,-2.93293,21,34
356,macroalgae,M-LN12,Ibaizabal Zona 01. Litoral Macroalgas. Height: 2,43.3603986,-3.0515116,3,33
15,fish,AAM,Artibai (Arrastre zona media estuario),43.3188221,-2.4249051,21,33
357,macroalgae,M-LN13,Ibaizabal Zona 01. Litoral Macroalgas. Height: 3,43.3603986,-3.0515116,3,33
433,macroalgae,M-LO55,Orio Zona 05. Litoral Macroalgas. Height: 5,43.307584,-2.074777,3,33
219,macroalgae,M-LA212,Artibai Zona 02. Litoral Macroalgas. Height: 12,43.3230751,-2.4112981,12,33
157,macroalgae,M-EL4,Lea Zona 04.Estuario Macroalgas,43.3573056,-2.501225,21,33
425,macroalgae,M-LO44,Orio Zona 04. Litoral Macroalgas. Height: 4,43.2898449,-2.1274386,6,33
37,fish,BIDE,Bidasoa (Arrastre zona exterior estuario),43.3725777,-1.7909941,19,33
372,macroalgae,M-LN36,Ibaizabal Zona 03. Litoral Macroalgas. Height: 6,43.3574004,-3.1135198,3,32
409,macroalgae,M-LO310,Orio Zona 03. Litoral Macroalgas. Height: 10,43.2941006,-2.1484825,12,32
351,macroalgae,M-LM36,Barbadún Zona 03. Litoral Macroalgas. Height: 6,43.351681,-3.146574,3,32
426,macroalgae,M-LO45,Orio Zona 04. Litoral Macroalgas. Height: 5,43.2898449,-2.1274386,6,32
331,macroalgae,M-LM210,Barbadún Zona 02. Litoral Macroalgas. Height: 10,43.3526642,-3.1133258,9,32
190,macroalgae,M-EOK10,Oka Zona 10.Estuario Macroalgas,43.3621546,-2.6750261,21,31
194,macroalgae,M-EOK5,Oka Zona 05.Estuario Macroalgas,43.376824,-2.6883661,21,31
179,macroalgae,M-EO5,Orio Zona 05. Estuario Macroalgas,43.2735382,-2.1228038,18,31
306,macroalgae,M-LL16,Lea Zona 01. Litoral Macroalgas. Height: 6,43.3668689,-2.4972341,21,31
327,macroalgae,M-LM17,Barbadún Zona 01. Litoral Macroalgas. Height: 7,43.3490175,-3.1219192,12,31
377,macroalgae,M-LN411,Ibaizabal Zona 04. Litoral Macroalgas. Height: 11,43.3803451,-3.0158881,9,31
373,macroalgae,M-LN37,Ibaizabal Zona 03. Litoral Macroalgas. Height: 7,43.3574004,-3.1135198,3,30
156,macroalgae,M-EL3,Lea Zona 03.Estuario Macroalgas,43.3576794,-2.5022955,21,30
261,macroalgae,M-LBI17,Bidasoa Zona 01. Litoral Macroalgas. Height: 7,43.3931766,-1.79582,15,30
104,macroalgae,M-EA1,Artibai Zona 01.Estuario Macroalgas,43.3200421,-2.422205,21,30
308,macroalgae,M-LL22,Lea Zona 02. Litoral Macroalgas. Height: 2,43.3648465,-2.4960042,12,30
355,macroalgae,M-LN11,Ibaizabal Zona 01. Litoral Macroalgas. Height: 1,43.3603986,-3.0515116,3,29
427,macroalgae,M-LO46,Orio Zona 04. Litoral Macroalgas. Height: 6,43.2898449,-2.1274386,6,29
457,macroalgae,M-LOK14,Oka Zona 01. Litoral Macroalgas. Height: 4,43.4090005,-2.6963528,3,29
44,fish,OIAM,Oiartzun (Arrastre zona media estuario),43.3234543,-1.9201378,18,29
455,macroalgae,M-LOK12,Oka Zona 01. Litoral Macroalgas. Height: 2,43.4090005,-2.6963528,3,28
176,macroalgae,M-EO2,Orio Zona 02. Estuario Macroalgas,43.2765099,-2.1322753,18,28
136,macroalgae,M-EBI20,Bidasoa Zona 20. Estuario Macroalgas,43.3426346,-1.7678886,18,28
371,macroalgae,M-LN35,Ibaizabal Zona 03. Litoral Macroalgas. Height: 5,43.3574004,-3.1135198,3,28
396,macroalgae,M-LO13,Orio Zona 01. Litoral Macroalgas. Height: 3,43.2931759,-2.1320877,3,27
173,macroalgae,M-EO1,Orio Zona 01. Estuario Macroalgas,43.2883975,-2.1312928,18,27
183,macroalgae,M-EO9,Orio Zona 09. Estuario Macroalgas,43.2702269,-2.0976514,18,27
118,macroalgae,M-EB4,Butroe Zona 04.Estuario Macroalgas,43.4015021,-2.9443413,21,27
119,macroalgae,M-EB5,Butroe Zona 05.Estuario Macroalgas,43.3982609,-2.9450234,21,27
361,macroalgae,M-LN21b,Ibaizabal Zona 02. Litoral Macroalgas. Height: 1b,43.3719749,-3.0374499,3,27
180,macroalgae,M-EO6,Orio Zona 06. Estuario Macroalgas,43.2758713,-2.1124183,18,27
117,macroalgae,M-EB3,Butroe Zona 03.Estuario Macroalgas,43.4028185,-2.9480573,21,27
148,macroalgae,M-ED3,Deba Zona 03. Estuario Macroalgas,43.2920333,-2.3572101,18,26
52,fish,URUE,Urumea (Arrastre zona exterior estuario),43.3221042,-1.9790279,18,26
164,macroalgae,M-EN1,Ibaizabal Zona 01. Estuario Macroalgas,43.3310346,-3.0253733,18,26
116,macroalgae,M-EB2,Butroe Zona 02.Estuario Macroalgas,43.4028562,-2.9517622,21,26
20,fish,ADI,Deba (Arrastre zona interior estuario),43.2913281,-2.361532,18,26
111,macroalgae,M-EB1,Butroe Zona 01.Estuario Macroalgas,43.4068353,-2.9498447,21,26
106,macroalgae,M-EA3,Artibai Zona 03.Estuario Macroalgas,43.3202673,-2.4311935,21,26
154,macroalgae,M-EL1,Lea Zona 01.Estuario Macroalgas,43.3626976,-2.4987865,21,26
107,macroalgae,M-EA4,Artibai Zona 04.Estuario Macroalgas,43.3188291,-2.4353507,21,26
342,macroalgae,M-LM310,Barbadún Zona 03. Litoral Macroalgas. Height: 10,43.351681,-3.146574,3,25
454,macroalgae,M-LOK11,Oka Zona 01. Litoral Macroalgas. Height: 1,43.4090005,-2.6963528,3,25
28,fish,ANE,Ibaizabal (Arrastre zona exterior estuario),43.3243095,-3.0182416,18,25
456,macroalgae,M-LOK13,Oka Zona 01. Litoral Macroalgas. Height: 3,43.4090005,-2.6963528,3,25
186,macroalgae,M-EOI3,Oiartzun Zona 03. Estuario Macroalgas,43.3211497,-1.9154427,18,25
204,macroalgae,M-EU6,Urola Zona 06. Estuario Macroalgas,43.2806892,-2.2550701,18,25
30,fish,ANM,Ibaizabal (Arrastre zona media estuario),43.3129107,-2.9904061,18,25
404,macroalgae,M-LO25,Orio Zona 02. Litoral Macroalgas. Height: 5,43.2917453,-2.1251432,3,25
112,macroalgae,M-EB10,Butroe Zona 10.Estuario Macroalgas,43.398102,-2.9199063,21,25
353,macroalgae,M-LM38,Barbadún Zona 03. Litoral Macroalgas. Height: 8,43.351681,-3.146574,3,24
147,macroalgae,M-ED2,Deba Zona 02. Estuario Macroalgas,43.2947377,-2.3561461,18,24
40,fish,BIDM,Bidasoa (Arrastre zona media estuario),43.3558484,-1.7876737,19,24
42,fish,OIAI1,Oiartzun (Arrastre zona interior 1 estuario Lezo),43.3229141,-1.907814,18,24
175,macroalgae,M-EO11,Orio Zona 11. Estuario Macroalgas,43.2758858,-2.0958794,18,24
210,macroalgae,M-EUR6,Urumea Zona 06. Estuario Macroalgas,43.3130457,-1.9649986,18,24
374,macroalgae,M-LN38,Ibaizabal Zona 03. Litoral Macroalgas. Height: 8,43.3574004,-3.1135198,3,23
207,macroalgae,M-EUR3,Urumea Zona 03. Estuario Macroalgas,43.3144294,-1.9786878,18,23
146,macroalgae,M-ED1,Deba Zona 01. Estuario Macroalgas,43.2971977,-2.3564653,18,23
205,macroalgae,M-EUR1,Urumea Zona 01. Estuario Macroalgas,43.3222495,-1.9791612,18,23
177,macroalgae,M-EO3,Orio Zona 03. Estuario Macroalgas,43.2731257,-2.1324713,18,23
328,macroalgae,M-LM18,Barbadún Zona 01. Litoral Macroalgas. Height: 8,43.3490175,-3.1219192,9,23
105,macroalgae,M-EA2,Artibai Zona 02.Estuario Macroalgas,43.3201352,-2.4281855,21,23
291,macroalgae,M-LD213,Deba Zona 02. Litoral Macroalgas. Height: 13,43.3024359,-2.3449192,18,23
363,macroalgae,M-LN22b,Ibaizabal Zona 02. Litoral Macroalgas. Height: 2b,43.3719749,-3.0374499,3,22
378,macroalgae,M-LN412,Ibaizabal Zona 04. Litoral Macroalgas. Height: 12,43.3803451,-3.0158881,9,22
209,macroalgae,M-EUR5,Urumea Zona 05. Estuario Macroalgas,43.3124363,-1.974319,18,22
518,macroalgae,M-LU28,Urola Zona 02. Litoral Macroalgas. Height: 8,43.3084801,-2.239071,18,22
206,macroalgae,M-EUR2,Urumea Zona 02. Estuario Macroalgas,43.3192152,-1.978176,18,22
121,macroalgae,M-EB7,Butroe Zona 07.Estuario Macroalgas,43.3948107,-2.9421495,21,22
127,macroalgae,M-EBI12,Bidasoa Zona 12. Estuario Macroalgas,43.342779,-1.7654182,18,22
286,macroalgae,M-LD17,Deba Zona 01. Litoral Macroalgas. Height: 7,43.3028695,-2.3562699,6,22
43,fish,OIAI2,Oiartzun (Arrastre zona interior 2 estuario Herrera),43.3223947,-1.9290735,18,22
159,macroalgae,M-EL6,Lea Zona 06.Estuario Macroalgas,43.3537868,-2.5016733,21,22
469,macroalgae,M-LOK31,Oka Zona 03. Litoral Macroalgas. Height: 1,43.3945841,-2.6929056,3,21
174,macroalgae,M-EO10,Orio Zona 10. Estuario Macroalgas,43.2696264,-2.093446,18,21
448,macroalgae,M-LOI26,Oiartzun Zona 02. Litoral Macroalgas. Height: 6,43.3357606,-1.927494,12,21
354,macroalgae,M-LM39,Barbadún Zona 03. Litoral Macroalgas. Height: 9,43.351681,-3.146574,3,21
395,macroalgae,M-LO12,Orio Zona 01. Litoral Macroalgas. Height: 2,43.2931759,-2.1320877,3,21
510,macroalgae,M-LU1c6,Urola Zona 01c. Litoral Macroalgas. Height: 6,43.303563,-2.2595623,18,21
352,macroalgae,M-LM37,Barbadún Zona 03. Litoral Macroalgas. Height: 7,43.351681,-3.146574,3,21
233,macroalgae,M-LB15,Butroe Zona 01. Litoral Macroalgas. Height: 5,43.4180365,-2.9490202,12,21
538,macroalgae,M-LUR32,Urumea Zona 03. Litoral Macroalgas. Height: 2,43.3295506,-1.9719588,0,21
109,macroalgae,M-EA6,Artibai Zona 06.Estuario Macroalgas,43.3207261,-2.4365788,21,21
400,macroalgae,M-LO21,Orio Zona 02. Litoral Macroalgas. Height: 1,43.2917453,-2.1251432,3,21
397,macroalgae,M-LO14,Orio Zona 01. Litoral Macroalgas. Height: 4,43.2931759,-2.1320877,3,20
201,macroalgae,M-EU3,Urola Zona 03. Estuario Macroalgas,43.2948007,-2.2580414,18,20
403,macroalgae,M-LO24,Orio Zona 02. Litoral Macroalgas. Height: 4,43.2917453,-2.1251432,3,20
504,macroalgae,M-LU1b6,Urola Zona 01b. Litoral Macroalgas. Height: 6,43.303637,-2.2598697,3,20
411,macroalgae,M-LO312,Orio Zona 03. Litoral Macroalgas. Height: 12,43.2941006,-2.1484825,9,20
188,macroalgae,M-EOI5,Oiartzun Zona 05. Estuario Macroalgas,43.3167562,-1.9032381,18,19
539,macroalgae,M-LUR33,Urumea Zona 03. Litoral Macroalgas. Height: 3,43.3295506,-1.9719588,0,19
199,macroalgae,M-EU1,Urola Zona 01. Estuario Macroalgas,43.2992644,-2.2534872,18,19
526,macroalgae,M-LUR17,Urumea Zona 01. Litoral Macroalgas. Height: 7,43.3208656,-2.0154308,15,19
110,macroalgae,M-EA7,Artibai Zona 07.Estuario Macroalgas,43.3214449,-2.4399267,21,19
536,macroalgae,M-LUR29,Urumea Zona 02. Litoral Macroalgas. Height: 9,43.3295506,-1.9719588,18,19
406,macroalgae,M-LO27,Orio Zona 02. Litoral Macroalgas. Height: 7,43.2917453,-2.1251432,3,19
151,macroalgae,M-ED5b,Deba Zona 05b. Estuario Macroalgas,43.289972,-2.3589576,15,19
150,macroalgae,M-ED5,Deba Zona 05. Estuario Macroalgas,43.2889966,-2.3584255,18,18
470,macroalgae,M-LOK32,Oka Zona 03. Litoral Macroalgas. Height: 2,43.3945841,-2.6929056,3,18
108,macroalgae,M-EA5,Artibai Zona 05.Estuario Macroalgas,43.3196209,-2.43522,21,18
38,fish,BIDI,Bidasoa (Arrastre zona interior estuario_a),43.3482547,-1.7814582,19,18
309,macroalgae,M-LL23,Lea Zona 02. Litoral Macroalgas. Height: 3,43.3648465,-2.4960042,12,18
477,macroalgae,M-LOK43,Oka Zona 04. Litoral Macroalgas. Height: 3,43.4023519,-2.6851602,3,18
120,macroalgae,M-EB6,Butroe Zona 06.Estuario Macroalgas,43.3967373,-2.9414685,21,17
123,macroalgae,M-EB9,Butroe Zona 09.Estuario Macroalgas,43.3959885,-2.9237124,21,17
434,macroalgae,M-LO56,Orio Zona 05. Litoral Macroalgas. Height: 6,43.307584,-2.074777,0,17
270,macroalgae,M-LBI217,Bidasoa Zona 02. Litoral Macroalgas. Height: 17,43.391142,-1.7907362,18,17
365,macroalgae,M-LN24,Ibaizabal Zona 02. Litoral Macroalgas. Height: 4,43.3719749,-3.0374499,3,17
496,macroalgae,M-LOK67,Oka Zona 06. Litoral Macroalgas. Height: 7,43.4120248,-2.6762294,6,17
149,macroalgae,M-ED4,Deba Zona 04. Estuario Macroalgas,43.2902805,-2.3577586,18,17
343,macroalgae,M-LM311,Barbadún Zona 03. Litoral Macroalgas. Height: 11,43.351681,-3.146574,3,17
211,macroalgae,M-EUR7,Urumea Zona 07. Estuario Macroalgas,43.3100191,-1.9648773,18,17
152,macroalgae,M-ED6,Deba Zona 06. Estuario Macroalgas,43.2913279,-2.361495,18,17
358,macroalgae,M-LN14,Ibaizabal Zona 01. Litoral Macroalgas. Height: 4,43.3603986,-3.0515116,3,17
166,macroalgae,M-EN3,Ibaizabal Zona 03. Estuario Macroalgas,43.3163148,-2.9964483,18,16
311,macroalgae,M-LL25,Lea Zona 02. Litoral Macroalgas. Height: 5,43.3648465,-2.4960042,12,16
537,macroalgae,M-LUR31,Urumea Zona 03. Litoral Macroalgas. Height: 1,43.3295506,-1.9719588,0,16
153,macroalgae,M-ED7,Deba Zona 07. Estuario Macroalgas,43.2924493,-2.3672155,18,16
165,macroalgae,M-EN2,Ibaizabal Zona 02. Estuario Macroalgas,43.3187277,-3.0092988,18,16
162,macroalgae,M-EM3,Barbadún Zona 03. Estuario Macroalgas,43.3417916,-3.1173646,18,16
187,macroalgae,M-EOI4,Oiartzun Zona 04. Estuario Macroalgas,43.3182635,-1.9158887,18,16
113,macroalgae,M-EB11,Butroe Zona 11.Estuario Macroalgas,43.3912487,-2.9186806,21,16
402,macroalgae,M-LO23,Orio Zona 02. Litoral Macroalgas. Height: 3,43.2917453,-2.1251432,3,16
479,macroalgae,M-LOK45,Oka Zona 04. Litoral Macroalgas. Height: 5,43.4023519,-2.6851602,3,15
185,macroalgae,M-EOI2,Oiartzun Zona 02. Estuario Macroalgas,43.3223631,-1.9295427,18,15
541,macroalgae,M-LUR35,Urumea Zona 03. Litoral Macroalgas. Height: 5,43.3295506,-1.9719588,0,15
398,macroalgae,M-LO15,Orio Zona 01. Litoral Macroalgas. Height: 5,43.2931759,-2.1320877,3,15
234,macroalgae,M-LB16,Butroe Zona 01. Litoral Macroalgas. Height: 6,43.4180365,-2.9490202,12,15
527,macroalgae,M-LUR18,Urumea Zona 01. Litoral Macroalgas. Height: 8,43.3208656,-2.0154308,12,14
394,macroalgae,M-LO11,Orio Zona 01. Litoral Macroalgas. Height: 1,43.2931759,-2.1320877,3,14
428,macroalgae,M-LO47,Orio Zona 04. Litoral Macroalgas. Height: 7,43.2898449,-2.1274386,6,14
540,macroalgae,M-LUR34,Urumea Zona 03. Litoral Macroalgas. Height: 4,43.3295506,-1.9719588,0,13
115,macroalgae,M-EB13,Butroe Zona 13.Estuario Macroalgas,43.3812564,-2.9225951,21,13
244,macroalgae,M-LB29,Butroe Zona 02. Litoral Macroalgas. Height: 9,43.4181537,-2.9494895,6,13
462,macroalgae,M-LOK22,Oka Zona 02. Litoral Macroalgas. Height: 2,43.4037813,-2.6976385,0,13
39,fish,BIDIb,Bidasoa (Arrastre zona interior estuario_b),43.3422605,-1.7707831,13,12
407,macroalgae,M-LO28,Orio Zona 02. Litoral Macroalgas. Height: 8,43.2917453,-2.1251432,3,12
467,macroalgae,M-LOK27,Oka Zona 02. Litoral Macroalgas. Height: 7,43.4037813,-2.6976385,3,12
466,macroalgae,M-LOK26,Oka Zona 02. Litoral Macroalgas. Height: 6,43.4037813,-2.6976385,3,12
310,macroalgae,M-LL24,Lea Zona 02. Litoral Macroalgas. Height: 4,43.3648465,-2.4960042,12,12
542,macroalgae,M-LUR36,Urumea Zona 03. Litoral Macroalgas. Height: 6,43.3295506,-1.9719588,0,12
478,macroalgae,M-LOK44,Oka Zona 04. Litoral Macroalgas. Height: 4,43.4023519,-2.6851602,3,12
458,macroalgae,M-LOK15,Oka Zona 01. Litoral Macroalgas. Height: 5,43.4090005,-2.6963528,3,11
476,macroalgae,M-LOK42,Oka Zona 04. Litoral Macroalgas. Height: 2,43.4023519,-2.6851602,3,11
344,macroalgae,M-LM312,Barbadún Zona 03. Litoral Macroalgas. Height: 12,43.351681,-3.146574,0,11
471,macroalgae,M-LOK33,Oka Zona 03. Litoral Macroalgas. Height: 3,43.3945841,-2.6929056,3,11
364,macroalgae,M-LN23,Ibaizabal Zona 02. Litoral Macroalgas. Height: 3,43.3719749,-3.0374499,3,11
220,macroalgae,M-LA213,Artibai Zona 02. Litoral Macroalgas. Height: 13,43.3230751,-2.4112981,6,10
332,macroalgae,M-LM211,Barbadún Zona 02. Litoral Macroalgas. Height: 11,43.3526642,-3.1133258,3,10
449,macroalgae,M-LOI27,Oiartzun Zona 02. Litoral Macroalgas. Height: 7,43.3357606,-1.927494,12,10
114,macroalgae,M-EB12,Butroe Zona 12.Estuario Macroalgas,43.3840122,-2.9232212,21,9
405,macroalgae,M-LO26,Orio Zona 02. Litoral Macroalgas. Height: 6,43.2917453,-2.1251432,3,9
329,macroalgae,M-LM19,Barbadún Zona 01. Litoral Macroalgas. Height: 9,43.3490175,-3.1219192,6,9
208,macroalgae,M-EUR4,Urumea Zona 04. Estuario Macroalgas,43.3084945,-1.9775788,18,9
345,macroalgae,M-LM313,Barbadún Zona 03. Litoral Macroalgas. Height: 13,43.351681,-3.146574,0,9
459,macroalgae,M-LOK16,Oka Zona 01. Litoral Macroalgas. Height: 6,43.4090005,-2.6963528,3,9
163,macroalgae,M-EM4,Barbadún Zona 04. Estuario Macroalgas,43.3380328,-3.1122624,18,9
480,macroalgae,M-LOK46,Oka Zona 04. Litoral Macroalgas. Height: 6,43.4023519,-2.6851602,3,9
468,macroalgae,M-LOK28,Oka Zona 02. Litoral Macroalgas. Height: 8,43.4037813,-2.6976385,3,8
422,macroalgae,M-LO41,Orio Zona 04. Litoral Macroalgas. Height: 1,43.2898449,-2.1274386,6,8
472,macroalgae,M-LOK34,Oka Zona 03. Litoral Macroalgas. Height: 4,43.3945841,-2.6929056,3,7
412,macroalgae,M-LO313,Orio Zona 03. Litoral Macroalgas. Height: 13,43.2941006,-2.1484825,0,7
160,macroalgae,M-EM1,Barbadún Zona 01. Estuario Macroalgas,43.3456214,-3.1231832,15,7
167,macroalgae,M-EN4,Ibaizabal Zona 04. Estuario Macroalgas,43.3106405,-2.9815528,18,7
169,macroalgae,M-EN6,Ibaizabal Zona 06. Estuario Macroalgas,43.3004738,-2.9786956,18,7
543,macroalgae,M-LUR37,Urumea Zona 03. Litoral Macroalgas. Height: 7,43.3295506,-1.9719588,0,7
172,macroalgae,M-EN9,Ibaizabal Zona 09. Estuario Macroalgas,43.2652775,-2.956775,18,7
170,macroalgae,M-EN7,Ibaizabal Zona 07. Estuario Macroalgas,43.293826,-2.9685277,18,7
171,macroalgae,M-EN8,Ibaizabal Zona 08. Estuario Macroalgas,43.2835976,-2.9714787,18,7
461,macroalgae,M-LOK21,Oka Zona 02. Litoral Macroalgas. Height: 1,43.4037813,-2.6976385,0,7
475,macroalgae,M-LOK41,Oka Zona 04. Litoral Macroalgas. Height: 1,43.4023519,-2.6851602,3,7
629,sediments,E-u5,,,,0,7
460,macroalgae,M-LOK17,Oka Zona 01. Litoral Macroalgas. Height: 7,43.4090005,-2.6963528,3,6
401,macroalgae,M-LO22,Orio Zona 02. Litoral Macroalgas. Height: 2,43.2917453,-2.1251432,3,6
473,macroalgae,M-LOK35,Oka Zona 03. Litoral Macroalgas. Height: 5,43.3945841,-2.6929056,3,6
366,macroalgae,M-LN25,Ibaizabal Zona 02. Litoral Macroalgas. Height: 5,43.3719749,-3.0374499,3,6
519,macroalgae,M-LU29,Urola Zona 02. Litoral Macroalgas. Height: 9,43.3084801,-2.239071,3,6
292,macroalgae,M-LD214,Deba Zona 02. Litoral Macroalgas. Height: 14,43.3024359,-2.3449192,6,6
168,macroalgae,M-EN5,Ibaizabal Zona 05. Estuario Macroalgas,43.304644,-2.9857468,18,6
346,macroalgae,M-LM314,Barbadún Zona 03. Litoral Macroalgas. Height: 14,43.351681,-3.146574,0,5
271,macroalgae,M-LBI218,Bidasoa Zona 02. Litoral Macroalgas. Height: 18,43.391142,-1.7907362,9,4
399,macroalgae,M-LO16,Orio Zona 01. Litoral Macroalgas. Height: 6,43.2931759,-2.1320877,3,4
359,macroalgae,M-LN15,Ibaizabal Zona 01. Litoral Macroalgas. Height: 5,43.3603986,-3.0515116,3,4
489,macroalgae,M-LOK58,Oka Zona 05. Litoral Macroalgas. Height: 8,43.4105988,-2.6980863,0,3
236,macroalgae,M-LB210,Butroe Zona 02. Litoral Macroalgas. Height: 10,43.4181537,-2.9494895,6,3
481,macroalgae,M-LOK47,Oka Zona 04. Litoral Macroalgas. Height: 7,43.4023519,-2.6851602,3,3
321,macroalgae,M-LM110,Barbadún Zona 01. Litoral Macroalgas. Height: 10,43.3490175,-3.1219192,0,2
474,macroalgae,M-LOK36,Oka Zona 03. Litoral Macroalgas. Height: 6,43.3945841,-2.6929056,3,2
413,macroalgae,M-LO314,Orio Zona 03. Litoral Macroalgas. Height: 14,43.2941006,-2.1484825,0,2
