,taxagroup,siteid,sitename,decimallatitude,decimallongitude,age,value
637,sediments,L-N10,,,,0,1284
607,sediments,E-L10,,,,0,1283
638,sediments,L-N20,,,,0,1279
715,water,E-N17LB,Leioa (Lamiako). Low Tide. Bottom,43.3156,-2.9977,21,1275
647,sediments,L-U10,,,,0,1269
616,sediments,E-O10,,,,0,1269
603,sediments,E-BI20,,,,0,1263
561,phytoplankton,E-N20,Abra Interior,43.3382,-3.027,17,1261
599,sediments,E-B10,,,,0,1257
648,sediments,L-UR20,,,,0,1253
631,sediments,L-B10,,,,0,1253
634,sediments,L-D10,,,,0,1246
641,sediments,L-OI10,,,,0,1242
627,sediments,E-UR10,,,,0,1241
609,sediments,E-M10,,,,0,1234
633,sediments,L-BI10,,,,0,1213
635,sediments,L-L10,,,,0,1208
89,invertebrates,L-D10,Litoral de Deba,43.326575,-2.352455,28,1177
101,invertebrates,L-RF30,Litoral Butroe - Plataforma,43.5000106,-2.7998994,17,1150
94,invertebrates,L-O10,Litoral de Orio,43.3054038,-2.1356127,28,1131
96,invertebrates,L-OI10,Litoral de Pasaia,43.3375628,-1.9324461,28,1127
619,sediments,E-OI15,,,,0,1055
613,sediments,E-N17,,,,0,1055
612,sediments,E-N15,,,,0,1055
102,invertebrates,L-U10,Litoral de Zumaia,43.317238,-2.2426121,28,1015
550,phytoplankton,E-BI20,Hondarribia (Txingudi),43.3697,-1.7901,21,1014
10,biota,I-OK10,Mundaka (puerto) (Moluscos),43.4081197,-2.6969871,29,1006
11,biota,I-U10,Zumaia (desembocadura) (Moluscos),43.3017362,-2.2500541,29,1005
3,biota,I-D10,Mutriku (playa) (Moluscos),43.3005619,-2.3542476,29,1004
630,sediments,L-A10,,,,0,1004
6,biota,I-N10,Zierbena (Ibaizabal) (Moluscos),43.3535388,-3.0798993,29,1003
2,biota,I-BI10,Hondarribia (desembocadura) (Moluscos),43.3690499,-1.7911753,29,994
8,biota,I-O10,Orio (puente de la autopista) (Moluscos),43.2833516,-2.1308592,29,994
5,biota,I-M10,Pobeña (puente) (Moluscos),43.3473524,-3.1212372,29,994
4,biota,I-L10,Lekeitio (puente) (Moluscos),43.3605368,-2.4988413,29,991
683,water,E-D10LB,Deba (Puente). Low Tide. Bottom,43.2925,-2.3572,29,990
